iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
RUS,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2066464425.882144,tonnes,annual,2023-10-10 22:40:44.687087,2023-11-02 20:46:28.765928
USA,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2,618908953.5295758,tonnes,annual,2023-10-10 22:40:44.695793,2023-11-02 20:46:28.765928
USA,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,14209102.719024535,tonnes,annual,2023-10-10 22:40:44.695804,2023-11-02 20:46:28.765928
RUS,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1351447942.473184,tonnes,annual,2023-10-10 22:40:44.632281,2023-11-09 22:35:18.754762
USA,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1096312445.2333443,tonnes,annual,2023-10-10 22:40:44.6408,2023-11-09 22:35:18.827056
CIV,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1157416.3436452702,tonnes,annual,2023-10-10 22:40:44.654099,2023-11-09 22:35:18.827056
CMR,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,7625437.865633723,tonnes,annual,2023-10-10 22:40:44.65467,2023-11-09 22:35:18.827056
GBR,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,37989425.07104088,tonnes,annual,2023-10-10 22:40:44.663468,2023-11-09 22:35:18.827056
RUS,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1246845568.7333553,tonnes,annual,2023-10-10 22:40:44.687079,2023-11-09 22:35:18.89523
USA,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1042340214.5565072,tonnes,annual,2023-10-10 22:40:44.695824,2023-11-09 22:35:18.89523
USA,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,1791159927.8491006,tonnes,annual,2023-10-10 22:40:44.695834,2023-11-02 20:46:28.765928
CIV,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,512383.1036946144,tonnes,annual,2023-10-10 22:40:44.708687,2023-11-02 20:46:28.765928
CIV,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,20629.819320085702,tonnes,annual,2023-10-10 22:40:44.708697,2023-11-02 20:46:28.765928
CIV,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2214343.1976016853,tonnes,annual,2023-10-10 22:40:44.708725,2023-11-02 20:46:28.765928
CMR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,3093210.9575668,tonnes,annual,2023-10-10 22:40:44.709272,2023-11-02 20:46:28.765928
CMR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,88278.81604394576,tonnes,annual,2023-10-10 22:40:44.709282,2023-11-02 20:46:28.765928
CMR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,10376213.281192323,tonnes,annual,2023-10-10 22:40:44.709311,2023-11-02 20:46:28.765928
GBR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,19097436.196348418,tonnes,annual,2023-10-10 22:40:44.717623,2023-11-02 20:46:28.765928
GBR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,410620.3862776624,tonnes,annual,2023-10-10 22:40:44.717633,2023-11-02 20:46:28.765928
GBR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,52973618.064255565,tonnes,annual,2023-10-10 22:40:44.717661,2023-11-02 20:46:28.765928
RUS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,841239013.3867854,tonnes,annual,2023-10-10 22:40:44.741832,2023-11-02 20:46:28.821399
RUS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,16996240.65480321,tonnes,annual,2023-10-10 22:40:44.741843,2023-11-02 20:46:28.821399
RUS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2243428867.40805,tonnes,annual,2023-10-10 22:40:44.741872,2023-11-02 20:46:28.821399
USA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,611223261.9652314,tonnes,annual,2023-10-10 22:40:44.750366,2023-11-02 20:46:28.821399
USA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,12939063.617599014,tonnes,annual,2023-10-10 22:40:44.750377,2023-11-02 20:46:28.821399
USA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,1678696010.41715,tonnes,annual,2023-10-10 22:40:44.750406,2023-11-02 20:46:28.821399
BGR,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2,29746.87169943707,tonnes,annual,2023-10-10 22:40:44.757688,2023-11-02 20:46:28.821399
BGR,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,687.0943412351754,tonnes,annual,2023-10-10 22:40:44.757698,2023-11-02 20:46:28.821399
BGR,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,86432.15485133904,tonnes,annual,2023-10-10 22:40:44.757727,2023-11-02 20:46:28.821399
CAN,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2,324563755.7294673,tonnes,annual,2023-10-10 22:40:44.761253,2023-11-02 20:46:28.821399
CAN,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,2558841.9024630985,tonnes,annual,2023-10-10 22:40:44.761263,2023-11-02 20:46:28.821399
CAN,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,535668212.682673,tonnes,annual,2023-10-10 22:40:44.761292,2023-11-02 20:46:28.821399
CIV,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2,360312.0038396823,tonnes,annual,2023-10-10 22:40:44.763101,2023-11-02 20:46:28.821399
CIV,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1127151.7194331686,tonnes,annual,2023-10-10 22:40:44.708717,2023-11-09 22:35:18.89523
CMR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,5723919.675676384,tonnes,annual,2023-10-10 22:40:44.709303,2023-11-09 22:35:18.89523
GBR,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,31333923.70742276,tonnes,annual,2023-10-10 22:40:44.717653,2023-11-09 22:35:18.89523
RUS,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1347726984.899921,tonnes,annual,2023-10-10 22:40:44.741864,2023-11-09 22:35:18.963609
USA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,996807357.769682,tonnes,annual,2023-10-10 22:40:44.750397,2023-11-09 22:35:18.963609
BGR,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,50222.283068245306,tonnes,annual,2023-10-10 22:40:44.757718,2023-11-09 22:35:18.963609
CAN,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,400817244.42286766,tonnes,annual,2023-10-10 22:40:44.761284,2023-11-09 22:35:18.963609
CIV,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,16250.757683640988,tonnes,annual,2023-10-10 22:40:44.763111,2023-11-02 20:46:28.821399
CIV,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,1700999.5127400642,tonnes,annual,2023-10-10 22:40:44.763157,2023-11-02 20:46:28.821399
CMR,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2,2633933.6762185176,tonnes,annual,2023-10-10 22:40:44.763691,2023-11-02 20:46:28.821399
CMR,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,92382.6234469288,tonnes,annual,2023-10-10 22:40:44.763701,2023-11-02 20:46:28.821399
CMR,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,10255500.110590143,tonnes,annual,2023-10-10 22:40:44.763731,2023-11-02 20:46:28.821399
IRL,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2,291686.89850434463,tonnes,annual,2023-10-10 22:40:45.566811,2023-11-02 20:46:28.879827
